gene,mean_p_replicate,is_essential,n_pairs,group
FAU,0.9976,True,9,top20
RRM1,0.996,True,6,top20
SNRPD1,0.9956,True,6,top20
PRELID1,0.9952,True,10,top20
SNRPA1,0.994,True,6,top20
SNRPF,0.9936,True,6,top20
KIF11,0.9929,True,7,top20
PSMA6,0.9929,True,7,top20
RPS29,0.9927,True,9,top20
POLR2L,0.9925,True,7,top20
PUF60,0.9912,True,14,top20
RPL3,0.991,True,9,top20
RPS8,0.991,True,5,top20
POLD1,0.9908,True,7,top20
PLK1,0.9908,True,7,top20
SF3B3,0.9907,True,12,top20
RPS19,0.9905,True,8,top20
SNRNP200,0.9905,True,15,top20
RPL31,0.9905,True,10,top20
SRSF2,0.9905,True,10,top20
ARHGEF5,0.3581,False,5,bottom20
EXOC7,0.3649,False,7,bottom20
ARHGAP11A,0.3744,True,5,bottom20
LSM14A,0.3823,True,6,bottom20
KHSRP,0.3849,False,5,bottom20
SMARCD1,0.3891,False,6,bottom20
DDRGK1,0.3899,False,6,bottom20
ZC3H13,0.402,True,5,bottom20
CABP4,0.4059,False,5,bottom20
RCOR2,0.406,True,5,bottom20
MEMO1,0.4062,False,7,bottom20
TAF5L,0.4062,False,8,bottom20
VTI1B,0.4091,True,5,bottom20
COQ2,0.4106,True,5,bottom20
ARPP19,0.412,True,5,bottom20
SERINC4,0.4123,True,5,bottom20
CA5A,0.413,True,5,bottom20
RAC3,0.4156,False,7,bottom20
INS,0.4206,True,5,bottom20
TBL1Y,0.4215,False,12,bottom20
